Date,Close
2016-03-01,1.9500000476837158
2016-03-02,1.944100022315979
2016-03-03,1.9318000078201294
2016-03-04,1.9261200428009033
2016-03-07,1.917870044708252
2016-03-08,1.9118000268936157
2016-03-09,1.9109200239181519
2016-03-10,1.9018000364303589
2016-03-11,1.914989948272705
2016-03-14,1.901520013809204
2016-03-15,1.898800015449524
2016-03-16,1.8968100547790527
2016-03-17,1.888800024986267
2016-03-18,1.8924000263214111
2016-03-21,1.904099941253662
2016-03-22,1.8975800275802612
2016-03-23,1.8667900562286377
2016-03-24,1.8735500574111938
2016-03-25,1.8770999908447266
2016-03-28,1.8828200101852417
2016-03-29,1.88742995262146
2016-03-30,1.883139967918396
2016-03-31,1.876099944114685
2016-04-01,1.8727999925613403
2016-04-04,1.855139970779419
2016-04-05,1.8766000270843506
2016-04-06,1.8758000135421753
2016-04-07,1.8568300008773804
2016-04-08,1.8707000017166138
2016-04-11,1.8677699565887451
2016-04-12,1.8741300106048584
2016-04-13,1.856410026550293
2016-04-14,1.852579951286316
2016-04-15,1.8382200002670288
2016-04-18,1.855870008468628
2016-04-19,1.8389099836349487
2016-04-20,1.8451000452041626
2016-04-21,1.837589979171753
2016-04-22,1.8496400117874146
2016-04-25,1.8729699850082397
2016-04-26,1.8772000074386597
2016-04-27,1.8811700344085693
2016-04-28,1.9123400449752808
2016-04-29,1.9141000509262085
2016-05-02,1.917099952697754
2016-05-03,1.9131100177764893
2016-05-04,1.9401799440383911
2016-05-05,1.9427599906921387
2016-05-06,1.9386099576950073
2016-05-09,1.9565000534057617
2016-05-10,1.9699000120162964
2016-05-11,1.9601000547409058
2016-05-12,1.9617999792099
2016-05-13,1.9737000465393066
2016-05-16,1.972309947013855
2016-05-17,1.9822299480438232
2016-05-18,1.976789951324463
2016-05-19,2.0195000171661377
2016-05-20,2.0192201137542725
2016-05-23,2.0053200721740723
2016-05-24,2.0046000480651855
2016-05-25,2.0319299697875977
2016-05-26,2.044800043106079
2016-05-27,2.029910087585449
2016-05-30,2.035799980163574
2016-05-31,2.0334999561309814
2016-06-01,2.001300096511841
2016-06-02,1.9888399839401245
2016-06-03,1.9928100109100342
2016-06-06,1.957800030708313
2016-06-07,1.9609899520874023
2016-06-08,1.9529999494552612
2016-06-09,1.9364999532699585
2016-06-10,1.9504499435424805
2016-06-13,1.9245699644088745
2016-06-14,1.9243199825286865
2016-06-15,1.9203300476074219
2016-06-16,1.9141000509262085
2016-06-17,1.9351500272750854
2016-06-20,1.962399959564209
