type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,5.0,128.0,64.0,0.001,10.0,0.0007232906269199563,0.024150113000304712,0.02689406304223957,-0.04976313028357815,24.637681159420293,0.02928422188290547
window_2,1.0,5.0,128.0,64.0,0.001,10.0,8.320238514880432e-05,0.007216328122432039,0.009121534144473961,0.8511422013433494,97.58454106280193,0.03916652285664024
window_3,1.0,5.0,128.0,64.0,0.001,10.0,4.449000655113502e-05,0.00564631324353947,0.006670082949344409,0.9501735717465836,97.10144927536231,0.02627089717975695
window_4,1.0,5.0,128.0,64.0,0.001,10.0,5.687858043681073e-05,0.005634804026696714,0.007541788941412424,0.8549875427704312,93.23671497584542,0.031007816568395123
window_5,1.0,5.0,128.0,64.0,0.001,10.0,1.8147060600687663e-05,0.0034963311818615285,0.004259936689751112,0.8569638529608823,97.58454106280193,0.02019649532695489
window_6,1.0,5.0,128.0,64.0,0.001,10.0,0.00022831272904763318,0.013036854699092697,0.01511002081559232,0.45185021713308193,83.17307692307693,0.04300860516436544
average,1.0,5.0,128.0,64.0,0.001,10.0,0.00019238689811750453,0.009863457378987861,0.01159957109713563,0.6525590426117917,82.21966740988479,0.03148909316316969
