type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,5.0,128.0,64.0,0.001,10.0,0.5057761669158936,0.6298076923076923,0.6823529411764706,0.5370370370370371,0.6010362694300518,0.73
window_2,1.0,5.0,128.0,64.0,0.001,10.0,0.5086141228675842,0.5576923076923077,0.5684210526315789,0.5142857142857142,0.54,0.6019417475728155
window_3,1.0,5.0,128.0,64.0,0.001,10.0,0.5190721154212952,0.6586538461538461,0.746268656716418,0.4807692307692308,0.5847953216374269,0.8365384615384616
window_4,1.0,5.0,128.0,64.0,0.001,10.0,0.5062041878700256,0.6778846153846154,0.7125,0.5643564356435643,0.6298342541436464,0.7850467289719626
window_5,1.0,5.0,128.0,64.0,0.001,10.0,0.4882937967777252,0.6971153846153846,0.6511627906976745,0.8235294117647058,0.7272727272727273,0.5754716981132075
window_6,1.0,5.0,128.0,64.0,0.001,10.0,0.4782952070236206,0.6923076923076923,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6153846153846154
average,1.0,5.0,128.0,64.0,0.001,10.0,0.5010426044464111,0.6522435897435898,0.6712286846481348,0.6148680997885037,0.6328707144615945,0.6907305419301771
