type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.0035622985877809656,0.05680548921227455,0.05968499466181568,-5.995912727348685,5.0,0.056661248207092285
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.00010589055219030196,0.008195993676781654,0.010290313512731377,0.8156418256258785,100.0,0.07809996604919434
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.0002712210145654037,0.01304204910993576,0.016468789104406058,0.6588726144591108,96.875,0.06370246410369873
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.0007905811134349738,0.02567368857562542,0.028117274288859753,-1.2486737412772073,100.0,0.14020061492919922
window_4,1.0,60.0,128.0,64.0,0.001,10.0,9.532938795494459e-05,0.008090633641248979,0.009763676968998134,0.17790030578119853,100.0,0.041002389043569565
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.00028558204758637445,0.013342603668570513,0.01689917298527873,0.47787500290361007,100.0,0.10423624515533447
average,1.0,60.0,128.0,64.0,0.001,10.0,0.0008518171172521607,0.020858409647406147,0.02353737025368162,-0.8523827866426825,83.64583333333333,0.08065048605203629
