type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.0026566075980920313,0.04777048416435718,0.05154228941453834,-4.217247922679192,10.0,0.042545437812805176
window_1,1.0,60.0,128.0,64.0,0.001,10.0,9.774080564290965e-05,0.00844227783381939,0.009886394977083894,0.8298307439383344,100.0,0.061733365058898926
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.0001316937531633089,0.008766111359000206,0.011475789870998374,0.8343625925127809,96.875,0.047591328620910645
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.00035316133470595366,0.01683818772435188,0.018792587227573366,-0.004507451913734695,100.0,0.08560705184936523
window_4,1.0,60.0,128.0,64.0,0.001,10.0,4.1796066964917495e-05,0.00551555816482448,0.006464987777630944,0.6395599026855496,100.0,0.03382730484008789
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.00010710220255036867,0.00869256556034088,0.01034901940042479,0.8041867909126362,100.0,0.0621265172958374
average,1.0,60.0,128.0,64.0,0.001,10.0,0.0005646836268532483,0.01600419746778234,0.018085178111374948,-0.18563589075727097,84.47916666666667,0.05557183548808098
