type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.0019588345074979265,0.043055927753448485,0.044258722388902355,-1.1053125647722912,3.2653061224489797,0.05093228816986084
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.0015796858978913612,0.03831432896889061,0.03974526258425476,0.22610182039936577,25.766871165644172,0.06157088279724121
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.002953313191261399,0.05390459347744377,0.05434439429473291,-9.292415116960564,0.0,0.054247260093688965
average,1.0,60.0,128.0,64.0,0.001,10.0,0.0021639445322168957,0.04509161673326095,0.04611612642263,-3.3905419537778294,9.677392429364383,0.05558347702026367
