type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.0012019953221429347,0.026632807571060804,0.03466980418379854,-0.2918783311293678,98.77551020408163,0.15177714824676514
window_2,1.0,60.0,128.0,64.0,0.001,10.0,7.26661955516409e-05,0.007033066881214913,0.008524446935235207,0.9644003681168608,100.0,0.12219131737947464
window_3,1.0,60.0,128.0,64.0,0.001,10.0,4.084067604775683e-05,0.0051356445769874465,0.00639067101701823,0.8576686032539322,100.0,0.09270011633634567
average,1.0,60.0,128.0,64.0,0.001,10.0,0.00043850073124744414,0.012933839676421054,0.01652830737868399,0.5100635467471418,99.59183673469387,0.12222286313772202
