type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.00012189895542702445,0.008575452864170075,0.011040785996794995,0.7606055661230646,70.0,0.021811366081237793
window_2,1.0,60.0,128.0,64.0,0.001,10.0,5.422132459718121e-05,0.0060695774853229524,0.007363513060841354,0.9055992795568926,98.75,0.03927922248840332
window_3,1.0,60.0,128.0,64.0,0.001,10.0,1.5312558625968364e-05,0.002872350811958313,0.00391312645156892,0.9807406771249336,98.125,0.02185070514678955
window_4,1.0,60.0,128.0,64.0,0.001,10.0,3.6322771815378016e-05,0.004770436882972717,0.0060268376297506155,0.8966860429579911,97.5,0.02814340591430664
window_5,1.0,60.0,128.0,64.0,0.001,10.0,1.4808068592491202e-05,0.0030990434142778504,0.003848125334820996,0.8722984703561539,98.11320754716981,0.01966714859008789
window_6,1.0,60.0,128.0,64.0,0.001,10.0,2.9222295826403212e-05,0.004313127323985092,0.005405765054680347,0.9465733534286818,96.875,0.026573896408081055
average,1.0,60.0,128.0,64.0,0.001,10.0,4.529766248074107e-05,0.004949998130447833,0.006266358921409539,0.8937505649246197,93.22720125786164,0.026220956817269325
