type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.000539476843015696,0.020325421914458276,0.02322664080351905,-0.05946562848747239,36.875,0.0309525728225708
window_2,1.0,60.0,128.0,64.0,0.001,10.0,9.358098138425585e-05,0.008114907518029213,0.00967372634429235,0.8370731049439165,100.0,0.04404914379119873
window_3,1.0,60.0,128.0,64.0,0.001,10.0,2.6376824064522352e-05,0.00405634418129921,0.005135837231116496,0.966824631762327,100.0,0.030144929885864258
window_4,1.0,60.0,128.0,64.0,0.001,10.0,7.324732146918311e-05,0.006838982179760933,0.008558464901440159,0.7916604310328117,98.125,0.03819131851196289
window_5,1.0,60.0,128.0,64.0,0.001,10.0,2.782660715831717e-05,0.004240725775184871,0.005275093094753606,0.7600294544342272,98.11320754716981,0.027583235874772072
window_6,1.0,60.0,128.0,64.0,0.001,10.0,5.532462127220133e-05,0.006256620958447451,0.007438052249897235,0.8988508977884182,98.75,0.0347900390625
average,1.0,60.0,128.0,64.0,0.001,10.0,0.00013597219972736265,0.00830550042119666,0.009884635770836484,0.6991621485790381,88.64386792452831,0.034285206347703934
