type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.00035413684840119864,0.016255318373441695,0.018818524076058638,0.30451914012733183,39.375,0.025981903076171875
window_1,1.0,60.0,128.0,64.0,0.001,10.0,8.034035059831802e-05,0.0073766842484474186,0.008963277893623405,0.8601253836294634,98.75,0.04005837440490723
window_2,1.0,60.0,128.0,64.0,0.001,10.0,1.9803965828124603e-05,0.0033068321645259857,0.004450164696741527,0.9750916237183378,100.0,0.026052236557006836
window_3,1.0,60.0,128.0,64.0,0.001,10.0,5.7789002338948234e-05,0.006114909797906876,0.007601907809158714,0.835628995069728,97.5,0.03286564350128174
window_4,1.0,60.0,128.0,64.0,0.001,10.0,2.0862055104021523e-05,0.003640580477204713,0.004567499874550795,0.8200902209725947,98.11320754716981,0.02367854118347168
window_5,1.0,60.0,128.0,64.0,0.001,10.0,3.943394182832623e-05,0.005118615180253979,0.006279645039994397,0.927903567690519,98.125,0.03038311004638672
average,1.0,60.0,128.0,64.0,0.001,10.0,9.539436068315621e-05,0.006968823373630111,0.008446836565021246,0.7872264885346625,88.64386792452831,0.029836634173989296
