type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,98.0,85.0,32.0,0.0038159792920093817,39.0,3.8176963736162544e-05,0.00486422732340551,0.006178750985123332,0.9560062683462327,95.79646017699115,0.02669822983443737
window_2,1.0,53.0,98.0,32.0,0.0036104484410485757,35.0,3.45034545950849e-05,0.004639494563302684,0.00587396412953679,0.9831318976834705,91.53225806451613,0.01999354362487793
window_3,1.0,45.0,70.0,32.0,0.0027995690536062345,40.0,5.4828682668746644e-05,0.006538894506964359,0.007404639266618371,0.8087731473240701,70.49504950495049,0.016359448432922363
average,1.0,65.33333333333333,84.33333333333333,32.0,0.0034086655955547305,38.0,4.25030336666647e-05,0.005347538797890852,0.006485784793759497,0.9159704377845911,85.94125591548591,0.021017074584960938
