forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity,profit_accuracy,transaction_frequency
1,119.0,120.0,77.0,0.003779057831546295,35.0,0.4690474569797516,0.8439716312056738,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.855072463768116,92.3076923076923,46.09929078014184
3,57.0,98.0,54.0,0.003265217704755462,36.0,0.42932936549186707,0.7562189054726368,0.7098308457711443,0.8906349206349207,0.7899892842187866,0.6134832233223323,86.27450980392157,50.74626865671642
5,100.0,119.0,126.0,0.003556556403229232,50.0,0.486208975315094,0.7756410256410258,0.7461929641239985,0.8358381765128812,0.7881677976024595,0.7158203275608338,90.45092838196287,48.333333333333336
average,92.0,112.33333333333333,85.66666666666667,0.0035336106465103296,40.333333333333336,0.46152862906455994,0.7919438541064455,0.7710555556793333,0.8532688101603784,0.8077425014521524,0.7281253382170941,89.67771016452558,48.39296425673053
