forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity,profit_accuracy,transaction_frequency
1,97.0,173.0,82.0,0.0016357504034445623,37.0,0.508006751537323,0.852760736196319,0.8701298701298701,0.8271604938271605,0.8481012658227848,0.8780487804878049,88.63636363636364,53.987730061349694
3,71.0,98.0,128.0,0.0011570904809703076,40.0,0.4495689570903778,0.7950089126559715,0.8117481264255458,0.786317198759595,0.7985483285897651,0.8036777649794624,90.38461538461539,46.3458110516934
5,108.0,89.0,39.0,0.0005963209133792577,36.0,0.46799275279045105,0.7918918918918919,0.8122067831984005,0.7648881985594315,0.7874206040789935,0.8191922735644823,90.02695417789758,50.13513513513514
average,92.0,120.0,83.0,0.0011297205992647091,37.666666666666664,0.4751894772052765,0.8132205135813941,0.8313615932512722,0.7927886303820624,0.8113567328305145,0.8336396063439165,89.68264439962554,50.156225416059414
