type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.46960172057151794,0.710691823899371,0.6836734693877551,0.8170731707317073,0.7444444444444445,0.5974025974025974
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5195840001106262,0.48427672955974843,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.41916805505752563,0.7547169811320755,0.7530864197530864,0.7625,0.7577639751552795,0.7468354430379747
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.5126124620437622,0.7169811320754716,0.72,0.6923076923076923,0.7058823529411765,0.7407407407407407
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.5846990346908569,0.7295597484276729,0.7391304347826086,0.6710526315789473,0.7034482758620689,0.7831325301204819
window_6,1.0,60.0,128.0,64.0,0.001,10.0,0.5624000430107117,0.7,0.6666666666666666,0.8148148148148148,0.7333333333333333,0.5822784810126582
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5113442540168762,0.6827044025157232,0.5937594984316862,0.6262913849055269,0.6074787302893838,0.7417316320524089
