type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.0006123595867685792,0.01970004059117416,0.024745900403270422,-2.785178963780454,77.58620689655173,0.06755638122558594
window_2,1.0,60.0,128.0,64.0,0.001,10.0,6.150833080458809e-05,0.00594281071218951,0.007842724705393406,-0.3311726227749108,89.65517241379311,0.028249379247426987
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.0006704701389520611,0.016629876779473342,0.02589343814467405,-0.403218763560379,80.8695652173913,0.07579457014799118
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.00016934278350840714,0.01179057616612007,0.013013177302580916,-2.539595621331163,93.10344827586206,0.03853380307555199
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.0005818363798804681,0.019113396262300422,0.024121284789174646,0.07676364299010652,56.03448275862068,0.03639650344848633
window_6,1.0,60.0,128.0,64.0,0.001,10.0,0.0003896214245378923,0.015498527165116936,0.01973883037411012,0.42864618074102634,62.06896551724138,0.03793704882264137
average,1.0,60.0,128.0,64.0,0.001,10.0,0.0004141897740753326,0.014779204612729073,0.01922589261986726,-0.9256260246192957,76.55297351324339,0.04741128161549568
