type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width,best_hyperparameters
window_1,1.0,90.0,178.0,88.0,0.0022102330274659885,40.0,0.00027403207836995496,0.013956155444754929,0.016553914291488735,0.18429646115655307,27.049180327868854,0.017456769943237305,"{'epochs': 40, 'look_back': 90, 'units': 178, 'batch_size': 88, 'learning_rate': 0.0022102330274659885}"
window_2,1.0,1.0,187.0,127.0,0.0016715550262619392,45.0,3.543807042004111e-05,0.004678956705247057,0.005952988360482583,0.9358146118958639,100.0,0.03655517101287842,"{'epochs': 45, 'look_back': 1, 'units': 187, 'batch_size': 127, 'learning_rate': 0.0016715550262619392}"
window_3,1.0,26.0,76.0,54.0,0.006253921436044803,32.0,5.203771463221123e-05,0.005623805587009717,0.007213717116176045,0.9408885655782773,76.34408602150538,0.017982840538024902,"{'epochs': 32, 'look_back': 26, 'units': 76, 'batch_size': 54, 'learning_rate': 0.006253921436044803}"
window_4,1.0,25.0,130.0,16.0,0.003772838000664106,28.0,2.4390809373266073e-05,0.004006664064478747,0.004938705232474001,0.9254302549920036,98.3957219251337,0.022637484595179558,"{'epochs': 28, 'look_back': 25, 'units': 130, 'batch_size': 16, 'learning_rate': 0.003772838000664106}"
window_5,1.0,83.0,118.0,74.0,0.0032661637138327025,20.0,5.801029138958024e-05,0.006750498631203822,0.007616448738722019,0.4998036751877093,97.67441860465115,0.029624462127685547,"{'epochs': 20, 'look_back': 83, 'units': 118, 'batch_size': 74, 'learning_rate': 0.0032661637138327025}"
window_6,1.0,44.0,69.0,40.0,0.005722119820227762,35.0,5.757185009788335e-05,0.005847801823587804,0.007587611620126807,0.8850383920279195,87.57396449704143,0.02293550968170166,"{'epochs': 35, 'look_back': 44, 'units': 69, 'batch_size': 40, 'learning_rate': 0.005722119820227762}"
average,1.0,44.833333333333336,126.33333333333333,66.5,0.0038161385040828837,33.333333333333336,8.358013571382281e-05,0.0068106470427136785,0.008310564226578365,0.7285453268063877,81.17289522936674,0.02453204058110714,
