type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1_test,1.0,30.0,150.0,96.0,0.005,40.0,0.48016873002052307,0.7407407407407407,0.7752808988764045,0.7040816326530612,0.7379679144385026,0.7802197802197802
window_2_test,1.0,120.0,200.0,48.0,0.005,30.0,0.5576373338699341,0.5151515151515151,0.0,0.0,0.0,1.0
window_3_test,1.0,90.0,100.0,16.0,0.005,50.0,0.4829464554786682,0.5116279069767442,0.0,0.0,0.0,1.0
window_4_test,1.0,60.0,200.0,16.0,0.01,50.0,0.735194742679596,0.7295597484276729,0.8431372549019608,0.5512820512820513,0.6666666666666666,0.9012345679012346
window_5_test,1.0,60.0,200.0,32.0,0.005,40.0,0.5899599194526672,0.7547169811320755,0.6868686868686869,0.8947368421052632,0.7771428571428571,0.6265060240963856
window_6_test,1.0,90.0,200.0,96.0,0.005,50.0,0.5236605405807495,0.5,0.0,0.0,0.0,1.0
average,1.0,75.0,175.0,50.666666666666664,0.005833333333333334,43.333333333333336,0.561594545841217,0.625299482071458,0.3842144734411754,0.358350087673396,0.36362957304133775,0.8846600620362334
