type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width,best_hyperparameters
window_1,1.0,84.0,187.0,54.0,0.002067061860979911,18.0,0.0003738911305419619,0.016469189006349316,0.01933626464811552,-3.0161595249749684,66.30434782608695,0.03822767361998558,"{'epochs': 18, 'look_back': 84, 'units': 187, 'batch_size': 54, 'learning_rate': 0.002067061860979911}"
window_2,1.0,40.0,67.0,18.0,0.0016554099982893965,41.0,1.9044532092279474e-05,0.003534871427451863,0.004364004135227128,0.5742914817841135,80.14705882352942,0.01150667667388916,"{'epochs': 41, 'look_back': 40, 'units': 67, 'batch_size': 18, 'learning_rate': 0.0016554099982893965}"
window_3,1.0,109.0,128.0,82.0,0.0029206156083430475,46.0,0.001095313950746229,0.026485213727662056,0.033095527654748595,-1.2331922846391783,69.6969696969697,0.08601677417755127,"{'epochs': 46, 'look_back': 109, 'units': 128, 'batch_size': 82, 'learning_rate': 0.0029206156083430475}"
window_4,1.0,39.0,107.0,118.0,0.0011537349866973265,35.0,5.5825324429702506e-05,0.006648693206536507,0.007471634655796716,-0.0535183087767499,84.67153284671532,0.02065122127532959,"{'epochs': 35, 'look_back': 39, 'units': 107, 'batch_size': 118, 'learning_rate': 0.0011537349866973265}"
window_5,1.0,31.0,191.0,62.0,0.00062763684627104,18.0,0.0001701250120445433,0.010502663563037737,0.013043197922463006,0.7314301798510829,57.931034482758626,0.022216796875,"{'epochs': 18, 'look_back': 31, 'units': 191, 'batch_size': 62, 'learning_rate': 0.00062763684627104}"
window_6,1.0,38.0,59.0,37.0,0.0015431276401365397,41.0,8.988099514478418e-05,0.00800646517587745,0.009480558799183948,0.8557886442125398,52.17391304347826,0.014372706413269043,"{'epochs': 41, 'look_back': 38, 'units': 59, 'batch_size': 37, 'learning_rate': 0.0015431276401365397}"
average,1.0,56.833333333333336,123.16666666666667,61.833333333333336,0.0016612644901195432,33.166666666666664,0.0003006801574999167,0.011941182684485822,0.014465197969255819,-0.3568933020905267,68.48747611992304,0.03216530755162239,
