type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1_test,1.0,50.0,188.0,115.0,0.009193085594517453,43.0,0.45734691619873047,0.7396449704142012,0.6981132075471698,0.8604651162790697,0.7708333333333334,0.6144578313253012
window_2_test,1.0,92.0,188.0,20.0,0.0007773653970973594,49.0,0.4382835030555725,0.7165354330708661,0.6623376623376623,0.8360655737704918,0.7391304347826086,0.6060606060606061
window_3_test,1.0,93.0,189.0,53.0,0.004881153699936653,29.0,0.4005562663078308,0.7063492063492064,0.6538461538461539,0.8360655737704918,0.7338129496402878,0.5846153846153846
window_4_test,1.0,86.0,189.0,43.0,0.0011139227448872333,37.0,0.3899824321269989,0.706766917293233,0.654320987654321,0.828125,0.7310344827586207,0.5942028985507246
window_5_test,1.0,35.0,52.0,125.0,0.006667214772159356,18.0,0.43835771083831787,0.7228260869565217,0.6484375,0.9325842696629213,0.7649769585253456,0.5263157894736842
window_6_test,1.0,36.0,186.0,18.0,0.009726092789415325,21.0,0.2579220235347748,0.5,0.5,0.9891304347826086,0.6642335766423357,0.010869565217391304
average,1.0,65.33333333333333,165.33333333333334,62.333333333333336,0.005393139166335562,32.833333333333336,0.397074818611145,0.6820204356806715,0.6361759185642178,0.8804059947109306,0.7340036226137553,0.48942034587384864
