type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1_test,1.0,44.0,83.0,64.0,0.002822790251854281,50.0,0.5067457556724548,0.7371428571428571,0.7444444444444445,0.7444444444444445,0.7444444444444445,0.7294117647058823
window_2_test,1.0,56.0,86.0,56.0,0.008628702260641698,31.0,0.5052164196968079,0.50920245398773,0.50920245398773,1.0,0.6747967479674797,0.0
window_3_test,1.0,59.0,64.0,28.0,0.005083031138985156,25.0,0.5320123434066772,0.7875,0.8405797101449275,0.7160493827160493,0.7733333333333333,0.8607594936708861
window_4_test,1.0,65.0,99.0,18.0,0.008582609954508724,34.0,0.46311062574386597,0.7987012987012987,0.7922077922077922,0.8026315789473685,0.7973856209150327,0.7948717948717948
window_5_test,1.0,109.0,56.0,52.0,0.003893353230175969,19.0,0.4341737627983093,0.6545454545454545,0.5824175824175825,1.0,0.7361111111111112,0.3333333333333333
window_6_test,1.0,109.0,174.0,52.0,0.00717147425488365,42.0,0.5161949396133423,0.4954954954954955,0.4954954954954955,1.0,0.6626506024096386,0.0
average,1.0,73.66666666666667,93.66666666666667,45.0,0.006030326848508246,33.5,0.49290895462036133,0.6637645933121393,0.6607245797829954,0.8771875676846438,0.7314536433635066,0.4530627310969828
