type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,30.0,112.0,43.0,0.006334967708569153,38.0,0.4842982888221741,0.746031746031746,0.7314814814814815,0.8061224489795918,0.7669902912621359,0.6813186813186813
window_2,1.0,107.0,144.0,71.0,0.005441528224151469,33.0,0.5021370649337769,0.7053571428571429,0.6428571428571429,0.9473684210526315,0.7659574468085106,0.45454545454545453
window_3,1.0,59.0,121.0,43.0,0.004928085279110264,31.0,0.4801221489906311,0.76875,0.7444444444444445,0.8271604938271605,0.783625730994152,0.7088607594936709
window_4,1.0,90.0,175.0,38.0,0.00519942556265058,31.0,0.45249006152153015,0.6511627906976745,0.5955056179775281,0.8548387096774194,0.7019867549668874,0.4626865671641791
window_5,1.0,117.0,68.0,86.0,0.005735583493692174,48.0,0.47870367765426636,0.7450980392156863,0.6619718309859155,0.9591836734693877,0.7833333333333333,0.5471698113207547
window_6,1.0,81.0,128.0,88.0,0.006631609216704043,35.0,0.4726826250553131,0.7410071942446043,0.7323943661971831,0.7536231884057971,0.7428571428571429,0.7285714285714285
average,1.0,80.66666666666667,124.66666666666667,61.5,0.005711866580812947,36.0,0.4784056842327118,0.726234485507809,0.6847758139906159,0.8580494892353313,0.7574584500370269,0.5971921170690283
