type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,30.0,68.0,85.0,0.00019092147558607924,29.0,0.5126557946205139,0.746031746031746,0.7659574468085106,0.7346938775510204,0.75,0.7582417582417582
window_2,1.0,76.0,61.0,18.0,0.0001743136584563346,46.0,0.4579591453075409,0.7132867132867133,0.6781609195402298,0.8194444444444444,0.7421383647798742,0.6056338028169014
window_3,1.0,45.0,142.0,105.0,0.00019151729498886096,23.0,0.3928285837173462,0.7298850574712644,0.6724137931034483,0.896551724137931,0.7684729064039408,0.5632183908045977
window_4,1.0,90.0,62.0,95.0,0.0061459691677252576,37.0,0.5190770626068115,0.5193798449612403,0.0,0.0,0.0,1.0
window_5,1.0,62.0,159.0,128.0,0.0009717661422817589,16.0,0.4850800037384033,0.7388535031847133,0.7297297297297297,0.72,0.7248322147651006,0.7560975609756098
window_6,1.0,51.0,175.0,23.0,0.0013875331623518137,27.0,0.6825585961341858,0.6390532544378699,0.6818181818181818,0.5294117647058824,0.5960264900662252,0.75
average,1.0,59.0,111.16666666666667,75.66666666666667,0.001510336816898351,29.666666666666668,0.5083598494529724,0.6810816865622579,0.5880133451666834,0.6166836351398798,0.59691166266919,0.7388652521398112
