type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width,best_hyperparameters
window_1,1.0,50.0,188.0,115.0,0.009193085594517453,43.0,0.000277722041636963,0.013900061214671416,0.01666499449855784,0.49887380884282073,32.94117647058823,0.01731431484222412,"{'look_back': 50, 'units': 188, 'batch_size': 115, 'learning_rate': 0.009193085594517453, 'epochs': 43}"
window_2,1.0,119.0,141.0,124.0,0.007977211473813669,14.0,3.0522817075342854e-05,0.004437224699719118,0.005524745883327382,0.701753420261954,100.0,0.04633188247680664,"{'look_back': 119, 'units': 141, 'batch_size': 124, 'learning_rate': 0.007977211473813669, 'epochs': 14}"
window_3,1.0,110.0,185.0,27.0,0.007268333964926581,40.0,1.4057016545750272e-05,0.0027816685763272374,0.003749268801479866,0.9726770108042105,96.36363636363636,0.01788485050201416,"{'look_back': 110, 'units': 185, 'batch_size': 27, 'learning_rate': 0.007268333964926581, 'epochs': 40}"
window_4,1.0,30.0,171.0,16.0,0.006759793400898626,10.0,2.442291601770376e-05,0.004028816913303576,0.004941954675804277,0.9242252829781038,98.42105263157895,0.024154547601938248,"{'look_back': 30, 'units': 171, 'batch_size': 16, 'learning_rate': 0.006759793400898626, 'epochs': 10}"
window_5,1.0,90.0,199.0,16.0,0.008744863528388389,41.0,1.5176869027906089e-05,0.0030227234197217363,0.003895750123905034,0.8751726565991291,89.92248062015504,0.013964295387268066,"{'look_back': 90, 'units': 199, 'batch_size': 16, 'learning_rate': 0.008744863528388389, 'epochs': 41}"
window_6,1.0,103.0,183.0,20.0,0.008150290646193057,35.0,1.8616577603070637e-05,0.0031586136573400272,0.004314693222358994,0.9728758383371846,95.72649572649573,0.018598318099975586,"{'look_back': 103, 'units': 183, 'batch_size': 20, 'learning_rate': 0.008150290646193057, 'epochs': 35}"
average,1.0,83.66666666666667,177.83333333333334,53.0,0.00801559643478963,30.5,6.341970631778944e-05,0.005221518080180519,0.006515234534238899,0.8242630029705671,85.56247363540906,0.023041367530822754,
