type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width,best_hyperparameters
window_1,1.0,83.0,160.0,82.0,0.002551743694684584,42.0,5.9503534341697445e-05,0.0043946518454440805,0.007713853404213581,0.8645093868905007,95.34883720930233,0.020808815956115723,"{'epochs': 42, 'look_back': 83, 'units': 160, 'batch_size': 82, 'learning_rate': 0.002551743694684584}"
window_2,1.0,1.0,177.0,48.0,0.005909115662685621,33.0,2.7797902722991954e-05,0.004273269131285319,0.005272371641205877,0.9496524739183531,100.0,0.037221670150756836,"{'epochs': 33, 'look_back': 1, 'units': 177, 'batch_size': 48, 'learning_rate': 0.005909115662685621}"
window_3,1.0,1.0,102.0,88.0,0.005064490090116969,39.0,1.1884149178053191e-05,0.0023494738538118337,0.0034473394347022445,0.9866176714440107,97.1563981042654,0.018477439880371094,"{'epochs': 39, 'look_back': 1, 'units': 102, 'batch_size': 88, 'learning_rate': 0.005064490090116969}"
window_4,1.0,31.0,140.0,44.0,0.005232225070617732,30.0,1.7993859992606044e-05,0.003397010307944282,0.0042419170185903025,0.9452895561276957,98.34254143646409,0.02099609375,"{'epochs': 30, 'look_back': 31, 'units': 140, 'batch_size': 44, 'learning_rate': 0.005232225070617732}"
window_5,1.0,86.0,193.0,56.0,0.009974483331969118,27.0,1.1214940106010806e-05,0.0027359728775327168,0.0033488714675261586,0.9054389527345484,98.4126984126984,0.01723157800734043,"{'epochs': 27, 'look_back': 86, 'units': 193, 'batch_size': 56, 'learning_rate': 0.009974483331969118}"
window_6,1.0,1.0,69.0,31.0,0.0008772326766376165,37.0,2.9156770435775734e-05,0.004006950922732079,0.0053997009579953344,0.9287565847038819,88.20754716981132,0.017512798309326172,"{'epochs': 37, 'look_back': 1, 'units': 69, 'batch_size': 31, 'learning_rate': 0.0008772326766376165}"
average,1.0,33.833333333333336,140.16666666666666,58.166666666666664,0.00493488175445194,34.666666666666664,2.6258526129522533e-05,0.0035262214897917184,0.00490400898737225,0.930044104303165,96.24467038875692,0.022041400894522667,
