type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,11.0,112.0,22.0,0.0018378213496795135,42.0,0.48538804054260254,0.7711442786069652,0.7230769230769231,0.9038461538461539,0.8034188034188035,0.6288659793814433
window_2,1.0,7.0,113.0,18.0,0.00408943489215971,26.0,0.5213077664375305,0.6116504854368932,0.6326530612244898,0.5849056603773585,0.6078431372549019,0.64
window_3,1.0,61.0,195.0,87.0,0.0011543333826264553,38.0,0.5056953430175781,0.9072847682119205,0.8987341772151899,0.922077922077922,0.9102564102564102,0.8918918918918919
window_4,1.0,89.0,142.0,25.0,0.0006983113249919711,47.0,0.3894401490688324,0.9032258064516129,0.8529411764705882,0.9666666666666667,0.90625,0.84375
window_5,1.0,60.0,98.0,39.0,0.007283744564570834,43.0,0.5117498636245728,0.875,0.8421052631578947,0.9014084507042254,0.8707482993197279,0.8518518518518519
window_6,1.0,2.0,74.0,60.0,0.0031925462747502756,32.0,0.4010435938835144,0.8862559241706162,0.8715596330275229,0.9047619047619048,0.8878504672897196,0.8679245283018868
average,1.0,38.333333333333336,122.33333333333333,41.833333333333336,0.0030426986314631265,38.0,0.469104140996933,0.8257602104796679,0.8035117056954348,0.8639444597390386,0.8310611862565939,0.7873807085711791
