type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,3.0,162.0,63.0,0.0010188513451468365,27.0,0.5621036887168884,0.7380952380952381,0.7849462365591398,0.6759259259259259,0.7263681592039801,0.803921568627451
window_2,1.0,56.0,149.0,17.0,0.0022141713463482557,40.0,0.5062800645828247,0.7197452229299363,0.7341772151898734,0.7160493827160493,0.725,0.7236842105263158
window_3,1.0,56.0,113.0,43.0,0.0032549822725289404,28.0,0.5039103031158447,0.7452229299363057,0.7380952380952381,0.775,0.7560975609756098,0.7142857142857143
window_4,1.0,77.0,106.0,119.0,0.0024433955551475804,37.0,0.441087543964386,0.7132352941176471,0.651685393258427,0.8787878787878788,0.7483870967741936,0.5571428571428572
window_5,1.0,88.0,191.0,87.0,0.003812642250184089,18.0,0.5530000329017639,0.712,0.8157894736842105,0.5166666666666667,0.6326530612244898,0.8923076923076924
window_6,1.0,88.0,117.0,36.0,0.0035725023163296126,33.0,0.4575973153114319,0.696,0.7407407407407407,0.625,0.6779661016949152,0.7704918032786885
average,1.0,61.333333333333336,139.66666666666666,60.833333333333336,0.0027194241809475523,30.5,0.5039964318275452,0.7207164475131879,0.7442390495879382,0.6979049756827536,0.711078663312198,0.7436389743614531
