type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.54375,0.52,0.9873417721518988,0.6812227074235808,0.1111111111111111
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5157232704402516,0.5157232704402516,1.0,0.6804979253112033,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5283018867924528,1.0,0.0625,0.11764705882352941,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5786163522012578,0.8666666666666667,0.16666666666666666,0.27956989247311825,0.9753086419753086
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4968553459119497,0.48717948717948717,1.0,0.6551724137931034,0.03614457831325301
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6625,0.6134453781512605,0.9012345679012346,0.73,0.4177215189873418
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.554291142557652,0.667169133739611,0.6862905011199666,0.5240183329707558,0.4233809750645024
