type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.0,0.47551020408163264,0.47551020408163264,1.0,0.6445366528354081,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.0,0.5010224948875256,0.5010224948875256,1.0,0.667574931880109,0.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.0,0.5183673469387755,0.5183673469387755,1.0,0.6827956989247311,0.0
average,1.0,60.0,128.0,64.0,0.001,10.0,0.0,0.4983000153026446,0.4983000153026446,1.0,0.6649690945467494,0.0
