type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6729559748427673,0.7027027027027027,0.6341463414634146,0.6666666666666666,0.7142857142857143
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5157232704402516,0.5157232704402516,1.0,0.6804979253112033,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4968553459119497,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5345911949685535,1.0,0.05128205128205128,0.0975609756097561,1.0
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5534591194968553,0.7777777777777778,0.09210526315789473,0.16470588235294117,0.9759036144578314
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6875,0.8780487804878049,0.4444444444444444,0.5901639344262295,0.9367088607594937
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5768474842767296,0.6457087552347561,0.37032968339130085,0.3665992307277995,0.7711496982505066
