type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.47648261758691207,0.47648261758691207,1.0,0.6454293628808865,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6830265848670757,0.6275659824046921,0.8842975206611571,0.7341337907375644,0.48582995951417
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6795918367346939,0.7470588235294118,0.5269709543568465,0.6180048661800487,0.8273092369477911
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6130336797295605,0.6170358078403386,0.8037561583393344,0.6658560065994998,0.4377130654873204
