type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4959183673469388,0.5141509433962265,0.4308300395256917,0.46881720430107526,0.5654008438818565
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5010224948875256,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5224489795918368,0.0,0.0,0.0,1.0
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5064632806087671,0.17138364779874216,0.14361001317523056,0.15627240143369175,0.8551336146272854
