type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5204081632653061,0.5204081632653061,1.0,0.6845637583892618,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4662576687116564,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.49183673469387756,0.49183673469387756,1.0,0.6593707250341997,0.0
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4928341888902801,0.3374149659863946,0.6666666666666666,0.4479781611411538,0.3333333333333333
