type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs,accuracy,precision,recall,f1_score,specificity,n_predictions
window_1,1.0,30.0,112.0,43.0,0.006334967708569153,38.0,0.730593607305936,0.7435897435897436,0.75,0.7467811158798283,0.7087378640776699,219.0
window_2,1.0,107.0,144.0,71.0,0.005441528224151469,33.0,0.5570776255707762,0.5546875,0.6396396396396397,0.5941422594142259,0.4722222222222222,219.0
window_3,1.0,59.0,121.0,43.0,0.004928085279110264,31.0,0.6757990867579908,0.6862745098039216,0.6422018348623854,0.6635071090047393,0.7090909090909091,219.0
window_4,1.0,90.0,175.0,38.0,0.00519942556265058,31.0,0.5799086757990868,0.5686274509803921,0.5471698113207547,0.5576923076923077,0.6106194690265486,219.0
window_5,1.0,117.0,68.0,86.0,0.005735583493692174,48.0,0.6529680365296804,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.7117117117117117,219.0
window_6,1.0,81.0,128.0,88.0,0.006631609216704043,35.0,0.6363636363636364,0.6704545454545454,0.5363636363636364,0.5959595959595959,0.7363636363636363,220.0
average,1.0,80.66666666666667,124.66666666666667,61.5,0.005711866580812947,36.0,0.6387851113878511,0.6483834027492116,0.6179945857965015,0.6309222280571423,0.6581243020821163,219.16666666666666
