type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.47648261758691207,0.47648261758691207,1.0,0.6454293628808865,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.7259713701431493,0.726890756302521,0.7148760330578512,0.7208333333333333,0.7368421052631579
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.7285714285714285,0.75,0.6721991701244814,0.7089715536105032,0.7831325301204819
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.6436751387671632,0.6511244579631443,0.7956917343941109,0.6917447499415744,0.5066582117945466
