type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.64375,0.0,0.0,0.0,1.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5875,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.34375,1.0,0.07894736842105263,0.14634146341463414,1.0
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.49375,0.49375,1.0,0.6610878661087866,0.0
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.48427672955974843,0.48427672955974843,1.0,0.652542372881356,0.0
window_6,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.51875,0.5223880597014925,0.8433734939759037,0.6451612903225806,0.16883116883116883
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5119627882599581,0.41673579821020684,0.4870534770661594,0.3508554987878929,0.5281385281385281
