type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.48427672955974843,0.0,0.0,0.0,1.0
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5157232704402516,0.5157232704402516,1.0,0.6804979253112033,0.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4968553459119497,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.49056603773584906,0.49056603773584906,1.0,0.6582278481012658,0.0
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5220125786163522,0.0,0.0,0.0,1.0
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.49375,0.0,0.0,0.0,1.0
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5005306603773585,0.16771488469601678,0.3333333333333333,0.22312096223541153,0.6666666666666666
