type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity
validation,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.48427672955974843,0.0,0.0,0.0,1.0
window_1,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.48427672955974843,0.0,0.0,0.0,1.0
window_2,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4968553459119497,0.0,0.0,0.0,1.0
window_3,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.5094339622641509,0.0,0.0,0.0,1.0
window_4,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4779874213836478,0.4779874213836478,1.0,0.6468085106382979,0.0
window_5,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.49375,0.0,0.0,0.0,1.0
average,1.0,60.0,128.0,64.0,0.001,10.0,0.5,0.4910966981132075,0.07966457023060797,0.16666666666666666,0.10780141843971631,0.8333333333333334
