type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,64.0,106.0,19.0,0.0007116612752690437,43.0,0.0013923808921761387,0.033645241688459344,0.03731462035417403,-1.7541859424415667,21.153846153846153,0.03551173210144043
window_2,1.0,64.0,106.0,36.0,0.008288392887002095,28.0,5.4978921613204956e-05,0.00608288783293504,0.0074147772463645165,0.8950419840255103,100.0,0.04036533460021019
window_3,1.0,70.0,130.0,76.0,0.007695744948116967,45.0,1.7583058901754118e-05,0.0032638339201609295,0.00419321581864732,0.9765439707022902,100.0,0.02762497030198574
window_4,1.0,37.0,64.0,67.0,0.0040535398687766,47.0,0.00010843808021006963,0.008602609725597777,0.010413360658791648,0.6625905116815908,96.17486338797814,0.03970659151673317
window_5,1.0,117.0,178.0,31.0,0.0025691081407215755,35.0,2.2761679199791954e-05,0.003731287577572991,0.004770920162797943,0.8335761564507413,96.07843137254902,0.02126895636320114
window_6,1.0,39.0,98.0,62.0,0.007908780448630736,33.0,3.682510188550891e-05,0.004954727973727231,0.006068368964187074,0.9246728486947335,100.0,0.03163719177246094
average,1.0,65.16666666666667,113.66666666666667,48.5,0.005204537928086169,38.5,0.0002721612889977447,0.010046764786408884,0.01169587720082709,0.4230399215188833,85.56785681906221,0.03268579766154289
