type,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width
window_1,1.0,64.0,106.0,19.0,0.0007116612752690437,43.0,0.00010105381245773551,0.007076395627779839,0.010052552534442956,0.8001114556619371,72.43589743589743,0.018375277519226074
window_2,1.0,64.0,106.0,36.0,0.008288392887002095,28.0,3.289667110182247e-05,0.004432543730124449,0.005735561969138026,0.9371983074658321,99.35897435897436,0.035454750061035156
window_3,1.0,70.0,130.0,76.0,0.007695744948116967,45.0,1.6146609732411812e-05,0.003020910422007243,0.004018284426519832,0.9784602125797147,98.0,0.021817326545715332
window_4,1.0,37.0,64.0,67.0,0.0040535398687766,47.0,2.1373219777695134e-05,0.003768562619151965,0.004623117971423089,0.9334963590747952,98.36065573770492,0.024509670212864876
window_5,1.0,117.0,178.0,31.0,0.0025691081407215755,35.0,8.044442473861551e-06,0.002254966427298153,0.0028362726374348344,0.9411824134783877,99.01960784313727,0.014845967292785645
window_6,1.0,39.0,98.0,62.0,0.007908780448630736,33.0,1.640106610334732e-05,0.0030216386963649333,0.0040498229718528836,0.9664509933529694,98.89502762430939,0.028362751007080078
average,1.0,65.16666666666667,113.66666666666667,48.5,0.005204537928086169,38.5,3.265263694114564e-05,0.003929169587121097,0.005219268751801937,0.9261499569356061,94.34502716667056,0.023894289508461952
