currency_pair,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,mse,mae,rmse,r2_score,coverage_probability (%),interval_width,best_hyperparameters
AUDUSD,1,93,74,29,0.00888036030212081,45,1.214019179367966e-07,0.00027932809002097995,0.000348427780087634,0.9997251770944556,93.67816091954023,0.0013110638,"{'epochs': 45, 'look_back': 93, 'units': 74, 'batch_size': 29, 'learning_rate': 0.00888036030212081}"
EURUSD,1,35,98,22,0.009753409922426284,29,3.648306207208304e-05,0.005579518912167385,0.006040121031244576,0.9770005641879371,50.86206896551724,0.010694728,"{'epochs': 29, 'look_back': 35, 'units': 98, 'batch_size': 22, 'learning_rate': 0.009753409922426284}"
GBPUSD,1,48,178,46,0.005672097998323299,41,9.282336436539181e-05,0.007443145148830329,0.00963448827729796,0.9707150580448803,58.9041095890411,0.0136168,"{'epochs': 41, 'look_back': 48, 'units': 178, 'batch_size': 46, 'learning_rate': 0.005672097998323299}"
JPYUSD,1,94,200,31,0.001722410771022675,19,2.6661692570164435e-07,0.0004902317722850043,0.0005163496157659501,-2.6024744450114516,0.0,4.1006126e-05,"{'epochs': 19, 'look_back': 94, 'units': 200, 'batch_size': 31, 'learning_rate': 0.001722410771022675}"
NZDUSD,1,31,126,28,0.005864101435000755,15,2.834537644043567e-07,0.00040618949017282024,0.0005324037606970454,0.9997327458377202,81.35593220338984,0.0015046597,"{'epochs': 15, 'look_back': 31, 'units': 126, 'batch_size': 28, 'learning_rate': 0.005864101435000755}"
