Date,Close,High,Low,Open,Volume
2000-01-04,6665.89990234375,6930.2001953125,6662.89990234375,6930.2001953125,633449000
2000-01-05,6535.89990234375,6665.89990234375,6500.39990234375,6665.89990234375,670234000
2000-01-06,6447.2001953125,6547.2998046875,6424.39990234375,6535.89990234375,785532000
2000-01-07,6504.7998046875,6532.39990234375,6438.7998046875,6447.2001953125,888306000
2000-01-10,6607.7001953125,6634.2001953125,6504.7998046875,6504.7998046875,735455000
2000-01-11,6518.89990234375,6638.10009765625,6510.7998046875,6607.7001953125,863011000
2000-01-12,6532.7998046875,6532.7998046875,6470.2998046875,6518.89990234375,779904000
2000-01-13,6531.5,6596.5,6509.39990234375,6532.7998046875,865831000
2000-01-14,6658.2001953125,6666.7998046875,6531.5,6531.5,1098626000
2000-01-17,6669.5,6694.2998046875,6638.2998046875,6658.2001953125,923472000
2000-01-18,6504.60009765625,6695.89990234375,6491.5,6669.5,854700000
2000-01-19,6445.5,6505.89990234375,6434.39990234375,6504.60009765625,863686000
2000-01-20,6348.7001953125,6492.7001953125,6328.2998046875,6445.39990234375,1008169000
2000-01-21,6346.2998046875,6374.7001953125,6287.10009765625,6348.7001953125,1007934000
2000-01-24,6379.7998046875,6480.39990234375,6346.2998046875,6346.2998046875,672107000
2000-01-25,6274.10009765625,6379.7998046875,6262.89990234375,6379.7998046875,805330000
2000-01-26,6375.60009765625,6380.0,6270.39990234375,6274.10009765625,1021822000
2000-01-27,6441.0,6451.60009765625,6375.60009765625,6375.60009765625,816596000
2000-01-28,6375.60009765625,6475.10009765625,6354.7998046875,6441.0,918227000
2000-01-31,6268.5,6375.60009765625,6246.7998046875,6375.60009765625,931453000
2000-02-01,6290.89990234375,6367.10009765625,6231.89990234375,6268.5,1214559000
2000-02-02,6302.7998046875,6345.2001953125,6241.60009765625,6290.89990234375,1336831000
2000-02-03,6324.2998046875,6393.5,6251.60009765625,6302.7998046875,1865400000
2000-02-04,6185.0,6364.89990234375,6171.2001953125,6324.2998046875,2309287000
2000-02-07,6118.60009765625,6232.10009765625,6100.7001953125,6185.0,1230759000
2000-02-08,6285.7998046875,6295.7001953125,6117.2998046875,6118.60009765625,2217462000
2000-02-09,6315.39990234375,6450.89990234375,6271.5,6285.7998046875,1840149000
2000-02-10,6279.7998046875,6320.0,6199.7998046875,6315.39990234375,2218541000
2000-02-11,6193.2998046875,6325.7001953125,6127.39990234375,6279.7998046875,3433671000
2000-02-14,6068.60009765625,6197.5,6027.5,6193.2998046875,1429935000
2000-02-15,6005.2001953125,6167.5,5972.7001953125,6068.60009765625,1510016000
2000-02-16,6147.39990234375,6147.39990234375,6002.5,6005.2001953125,1614733000
2000-02-17,6209.2998046875,6262.2001953125,6102.89990234375,6147.39990234375,1522351000
2000-02-18,6165.0,6264.10009765625,6151.39990234375,6209.2998046875,1098726000
2000-02-21,6081.60009765625,6193.60009765625,6029.89990234375,6165.0,960304000
